"registrationid","buildingid","boroid","boro","housenumber","lowhousenumber","highhousenumber","streetname","streetcode","zip","block","lot","bin","communityboard","lastregistrationdate","registrationenddate"
"825850","271859","3","BROOKLYN","787","787","787","EAST 56 STREET","37280","11234","7974","28","3223251","18","2026-03-19T00:00:00.000","2026-09-01T00:00:00.000"
"131572","169","1","MANHATTAN","141","141","141","1 AVENUE","10010","10003","450","31","1006381","3","2025-08-13T00:00:00.000","2026-09-01T00:00:00.000"
"109808","245","1","MANHATTAN","1576","1576","1576","1 AVENUE","10010","10028","1561","45","1050399","8","2025-08-08T00:00:00.000","2026-09-01T00:00:00.000"
"420463","810843","4","QUEENS","163-15","163-15","163-19","130 AVENUE","21870","11434","12495","2","4436357","12","2026-03-31T00:00:00.000","2026-09-01T00:00:00.000"
"335058","383549","3","BROOKLYN","220","220","220","UNION STREET","86530","11231","344","22","3004524","6","2026-03-30T00:00:00.000","2026-09-01T00:00:00.000"
"125763","1043","1","MANHATTAN","1734","1734","1734","2 AVENUE","10110","10128","1553","2","1078647","8","2025-07-10T00:00:00.000","2026-09-01T00:00:00.000"
"137997","1699","1","MANHATTAN","1210","1210","1216","3 AVENUE","10210","10021","1405","33","1042739","8","2025-07-11T00:00:00.000","2026-09-01T00:00:00.000"
"142492","8531","1","MANHATTAN","732","732","732","BROADWAY","13610","10003","545","20","1008797","2","2026-03-19T00:00:00.000","2026-09-01T00:00:00.000"
"124742","2193","1","MANHATTAN","340","340","340","3 AVENUE","10210","10010","881","40","1018109","6","2025-08-11T00:00:00.000","2026-09-01T00:00:00.000"
"110059","2635","1","MANHATTAN","2060","2060","2062","5 AVENUE","10410","10035","1725","33","1053634","10","2025-08-24T00:00:00.000","2026-09-01T00:00:00.000"
"113055","5685","1","MANHATTAN","1835","1835","1835","AMSTERDAM AVENUE","11710","10031","2065","61","1061588","9","2025-09-19T00:00:00.000","2026-09-01T00:00:00.000"
"122119","6529","1","MANHATTAN","134","132","134","AVENUE C","12310","10009","378","4","1004527","3","2025-08-20T00:00:00.000","2026-09-01T00:00:00.000"
"610843","7142","1","MANHATTAN","327","327","327","BLEECKER STREET","13310","10014","591","45","1010194","2","2025-09-16T00:00:00.000","2026-09-01T00:00:00.000"
"106596","7166","1","MANHATTAN","377","377","379","BLEECKER STREET","13310","10014","621","38","1011246","2","2018-10-03T00:00:00.000","2019-09-01T00:00:00.000"
"117712","8624","1","MANHATTAN","9","9","9","BROADWAY TERRACE","13710","10040","2170","509","1064106","12","2025-07-23T00:00:00.000","2026-09-01T00:00:00.000"
"129903","9401","1","MANHATTAN","20","20","20","CHARLTON STREET","14910","10014","506","22","1007831","2","2025-08-23T00:00:00.000","2026-09-01T00:00:00.000"
"100420","805012","1","MANHATTAN","144REAR","144rear","146 REAR","LUDLOW STREET","25090","10002","411","45","1077107","3","2025-12-05T00:00:00.000","2026-09-01T00:00:00.000"
"104830","9857","1","MANHATTAN","971","971","971","COLUMBUS AVENUE","15710","10025","1843","63","1055706","7","2025-07-03T00:00:00.000","2026-09-01T00:00:00.000"
"137642","9927","1","MANHATTAN","298","298","298","CONVENT AVENUE","15910","10031","2058","18","1061237","9","2017-09-26T00:00:00.000","2018-09-01T00:00:00.000"
"307160","164018","3","BROOKLYN","2329","2329","2329","63 STREET","9730","11204","6557","61","3172422","11","2026-03-19T00:00:00.000","2026-09-01T00:00:00.000"
